 2023-24 Survey Materials: Glossary  ," Date: 07-18-2023"
"Cost of attendance (for IPEDS reporting purposes)","The amount of tuition and fees; food and housing; books, course materials, supplies, and equipment; and other expenses that a full-time, first-time degree/certificate-seeking student can expect to pay to go to college for an academic year. Costs reported to IPEDS by the institution are those amounts used by the financial aid office to determine a student's financial need for the academic year, which is typically nine months.","Allowable costs,Average cost of attendance,Total cost of attendance"
"Counseling service","Activities designed to assist students in making plans and decisions related to their education, career, or personal development.",""
"Credit","Recognition of attendance or performance in an instructional activity (course or program) that can be applied by a recipient toward the requirements for a postsecondary&nbsp;degree, diploma, certificate, or other recognized postsecondary credential, irrespective of the activity's unit of measurement.",""
"Credit course","A course that, if successfully completed, can be applied toward the number of courses required for achieving a postsecondary&nbsp;degree, diploma, certificate, or other recognized postsecondary credential, irrespective of the activity's unit of measurement.",""
"Credit for life experiences","Credit earned by students for what they have learned through independent study, noncredit adult courses, work experience, portfolio demonstration, previous licensure or certification, or completion of other learning opportunities (military, government, or professional). Credit may also be awarded through a credit by examination program.",""
"Credit for Military Training","Postsecondary credit granted by institutions to military servicemen or veterans for experiences and training gained while in the service.",""
"Credit hour","A unit of measure representing the equivalent of an hour (50 minutes) of instruction per week over the entire term. It is applied toward the total number of credit hours needed for completing the requirements of a degree,  diploma,  certificate,  or other recognized postsecondary credential.","Clock hour"
"Credit hour activity","The provision of coursework to students which can be measured in terms of credit hours.",""
"Cross-over award period","A term or period of enrollment in a course or program that begins in one award year and ends in the subsequent award year.",""
"Current assets","Assets that are reasonably expected to be realized in cash or sold or consumed during the next normal operating cycle (normally one year) of the institution. Liquidity or nearness to cash is not the basis for classifying assets as current or non-current; thus cash or investments intended for liquidation of liabilities due beyond the one-year period would not be current assets.&nbsp;<div><br></div><div>Beginning with 2013-14, GASB Statements 63 and 65 required institutions to display deferred inflows and outflows on their Statement of Net Position. Thus in the 2013-14(FY13) through the 2015-16(FY15) collections, current assets included deferred outflows of resources. Beginning with 2016-17 (FY16), deferred outflows was collected separately from current assets.&nbsp;</div>",""
"Current liabilities","Liabilities whose liquidation is reasonably expected to require the use of resources classified as current assets or the creation of other current liabilities within the next year. May include accounts payable, accrued salaries and wages,  deferred revenues,  and long term debt current portion, among others.<div><br></div><div>Beginning with 2013-14, GASB Statements 63 and 65 required institutions to display deferred inflows and outflows of resources on their Statement of Net Position. Thus from 2013-14 (FY13) to 2015-16 (FY15), total current liabilities included deferred inflows. Beginning with FY16, deferred inflows was collected separately from total current liabilities.&nbsp;</div>",""
"Current replacement value","The estimated current cost to replace all buildings owned by the institution. It represents recent appraisal value or what is currently carried as insurance replacement value, but does not include the replacement values of those buildings which are a part of endowment or other capital fund investments in real estate. This figure is not a book value figure.",""
"Data Analysis System (DAS)","The Data Analysis System (DAS) is a software application that allows a user to produce tables from selected NCES data sets.  While each collection year uses a separate DAS, all have a consistent interface and command structure.  User can select from several output formats, either direct printing or comma-separated file which can be input for other software.",""
"Data collection system","The Web environment that is used to collect the IPEDS data.",""
"Data dictionary","A file or a list that contains all known information about variables  such as format, data type, field width, and source.",""
"Data revision system","The Web environment where an institution's prior year data may be revised by keyholders  or data managers.",""
"Data Universal Numbering System (DUNS) number","The Data Universal Numbering System (DUNS) number is a 9-digit number assigned by the Dun &amp; Bradstreet Information Corporation to any entity providing products, goods, or services.&nbsp;The DUNS number was the official identifier for doing business with the U.S. Government until April 4, 2022.","Unique Entity Identifier (UEI)"
"Data year","The year to which data pertain in a particular IPEDS component. For example, for collection year 2003-04, tuition is for data year 2003-04, whereas completions are for data year 2002-03.",""
"Database","Collection of electronically stored data or unit records (facts, bibliographic data, and texts) with a common user interface and software for the retrieval and manipulation of the data. The data or records are usually collected with a particular intent and relate to a defined topic. Each database is counted individually even if access to several databases is supported through the same vendor interface.",""
"Dataset Cutting Tool (DCT)","An early IPEDS data access tool, no longer available.  All the functions in the Dataset Cutting Tool have been incorporated into the IPEDS Data Center.",""
"Day care service","A student service designed to provide appropriate care and protection of infants, preschool, and school-age children so their parents can participate in postsecondary education programs.",""
"Deductions from physical plant assets","Amounts that represent a decline in the value of physical plant assets resulting from selling, razing, fire, and other hazards, or other disposition of the assets.",""
"Deferred inflows of resources","Acquisition of net assets acquired by a government that is applicable to future reporting periods.&nbsp;Examples of deferred inflows are the difference in a debt refunding between reacquisition and net carrying amount of the old debt, upfront payments in service concession arrangements, and change in fair values in hedging instruments.&nbsp;",""
"Deferred outflows of resources","A consumption of net assets by a government that is applicable to future periods. Examples of deferred outflows of resources include changes in fair values in hedging instruments and changes in the net pension liability that are not considered pension expense (as described in GASB Statement 68, Accounting and Financial Reporting for Pensions: an amendment of GASB Statement No. 27).",""
"Degree","An award conferred by a college, university, or other postsecondary education institution as official recognition for the successful completion of a program of studies.",""
"Degree of urbanization (urban-centric locale)","A code representing the urbanicity (city/suburb/rural) by population size of the institution's location.  This urban-centric locale code was assigned through a methodology developed by the U.S. Census Bureau's Population Division in 2005. The urban-centric locale codes apply current geographic concepts to the original NCES Locale codes used on IPEDS files through 2004.<br>The following are the codes used:<br>11City: Large <br>12City: Midsize <br>13City: Small <br>21Suburb: Large <br>22Suburb: Midsize <br>23Suburb: Small <br>31Town: Fringe <br>32Town: Distant <br>33Town: Remote <br>41Rural: Fringe <br>42Rural: Distant <br>43Rural: Remote <br>",""
"Degree/certificate-seeking students","Students enrolled in courses for credit who are seeking a degree, certificate, or other recognized postsecondary credential. This includes students who: <br>&nbsp;&nbsp;&nbsp;<b>-</b> received any type of federal financial aid, regardless of what courses they took at any time;<br>&nbsp;&nbsp;&nbsp;<b>-</b> received any state or locally based financial aid with an eligibility requirement that the student be enrolled in a degree, certificate, or transfer-seeking program; or<br>&nbsp;&nbsp;&nbsp;<b>-</b> obtained a student visa to study at a U.S. postsecondary institution <br><br>High school students also enrolled in postsecondary courses for credit are not considered degree/certificate-seeking.",""
"Department of Defense Voluntary Education Program Memorandum of Understanding","A voluntary program that functions to expand and improve postsecondary opportunities for servicemembers worldwide. It is funded by the Department of Defense through a contract with the American Association of State Colleges and Universities (AASCU).",""
"Dependent care expenses","A cost of attendance allowance based on the number and age of dependents, and actual estimated cost in the community where the student resides for dependent care during commuting time, class time, study time, field work, internships, and other education related activities as determined by the financial aid office.",""
"Depreciation","The allocation or distribution of the cost of capital assets,  less any salvage value, to expenses over the estimated useful life of the asset in a systematic and rational manner. Depreciation for the year is the amount of the allocation or distribution for the year involved.",""
"Developmental courses","Instructional courses designed for students deficient in the general competencies necessary for a regular postsecondary curriculum and educational setting.",""
"Developmental education","<span style='font-size: 13.6px;'>Courses or programs designed to develop the reading, writing, and/or math skills of students who are determined–typically by a standardized test–to be academically underprepared for college-level, credit-bearing courses.</span>",""
"Developmental services","Instructional activities designed for students deficient in the general competencies necessary for a regular postsecondary curriculum and educational setting.",""
"Differs by program (calendar system)","A calendar system classification that is used by institutions that have occupational/vocational programs of varying lengths. These schools may enroll students at specific times depending on the program desired. For example, a school might offer a 2-month program in January, March, May, September, and November; and a 3-month program in January, April, and October.",""
"Diploma","A official document certifying the successful completion of a prescribed program of studies.",""
"Disability services","Programs designed to provide reasonable academic accommodations and support services to empower students who have disabilities to competitively pursue postsecondary education.  May also include assistance to campus departments in providing access to services and programs in the most integrated setting possible.",""
"Discounts and allowances","That part of a scholarship or fellowship that is used to pay institutional charges such as tuition and fees or food and housing charges.",""
"Discovery system","A discovery system product consists of an interface directed toward the users of a library to find materials in its collections and subsequently to gain access to items of interest through the appropriate mechanisms. Discovery systems tend to be independent from the specific applications that libraries implement to manage resources, such as integrated library systems, library services platforms, repository platforms, or electronic resource management systems. In most cases they provide access to multiple types of materials, independently of the management platform involved. Discovery systems provide an interface with search and retrieval capabilities, often with features such as relevancy-based ordering of search results, facets presented that can be selected to narrow results according to specific categories, contributors, or date ranges, and tools to identify related materials or to refine search queries. Examples of discovery systems can be found at http://librarytechnology.org/discovery/.",""
"Distance education","<P>Education that uses one or more technologies to deliver instruction to students who are separated from the instructor and to support regular and substantive interaction between the students and the instructor synchronously or asynchronously.</P><P>Technologies used for instruction may include the following: Internet; one-way and two-way transmissions through open broadcasts, closed circuit, cable, microwave, broadband lines, fiber optics, satellite or wireless communication devices; audio conferencing; and video cassette, DVDs, and CD-ROMs, if the cassette, DVDs, and CD-ROMs are used in a course in conjunction with the technologies listed above. </P>",""
"Distance education course","A course in which the instructional content is delivered exclusively via distance education.&nbsp; Requirements for coming to campus for orientation, testing, or academic support services do not exclude a course from being classified as distance education.",""
"Distance education program","A program for which all the required coursework for program completion is able to be completed via distance education courses.",""
"Dividend earnings","Distribution of earnings to shareholders that may be in the form of cash, stock, or property.",""
"Doctor's degree","The highest award a student can earn for graduate study. The doctor's degree classification includes such degrees as Doctor of Education, Doctor of Juridical Science, Doctor of Public Health, and the Doctor of Philosophy degree in any field such as agronomy, food technology, education, engineering, public administration, ophthalmology, or radiology.",""
"Doctor's degree-other","A doctor's degree that does not meet the definition of a doctor's degree - research/scholarship or a doctor's degree - professional practice.",""
"Doctor's degree-professional practice","A doctor's degree that is conferred upon completion of a program providing the knowledge and skills for the recognition, credential, or license required for professional practice. The degree is awarded after a period of study such that the total time to the degree, including both pre-professional and professional preparation, equals at least six full-time equivalent academic years. Some of these degrees were formerly classified as first-professional and may include: Chiropractic (D.C. or D.C.M.); Dentistry (D.D.S. or D.M.D.); Law (J.D.); Medicine (M.D.); Optometry (O.D.); Osteopathic Medicine (D.O); Pharmacy (Pharm.D.); Podiatry (D.P.M., Pod.D., D.P.); or, Veterinary Medicine (D.V.M.), and others, as designated by the awarding institution.",""
"Doctor's degree-research/scholarship","A Ph.D. or other doctor's degree that requires advanced work beyond the master's level, including the preparation and defense of a dissertation based on original research, or the planning and execution of an original project demonstrating substantial artistic or scholarly achievement. Some examples of this type of degree may include Ed.D., D.M.A., D.B.A., D.Sc., D.A., or D.M, and others, as designated by the awarding institution.",""
"Doctoral/Research Universities - Extensive (Carnegie)","An institutional classification developed by the Andrew W. Carnegie Foundation for the Advancement of Teaching. Doctoral/Research Universities - Extensive typically offer a wide range of baccalaureate programs, and they are committed to graduate education through the doctorate. During the period studied, they awarded 50 or more doctoral degrees per year across at least 15 disciplines.","Carnegie Classification"
"Doctoral/Research Universities - Intensive (Carnegie)","An institutional classification developed by the Andrew W. Carnegie Foundation for the Advancement of Teaching. Doctoral/Research Universities - Intensive typically offer a wide range of baccalaureate programs, and they are committed to graduate education through the doctorate. During the period studied, they awarded at least ten doctoral degrees per year across three or more disciplines, or at least 20 doctoral degrees per year overall.","Carnegie Classification"
"Dual credit","A program through which high school students are enrolled in Advanced Placement (AP) courses, taught at their high school, that fulfill high school graduation requirements and may earn the student college credits. (Term used in the IPEDS prior to 2021–22).",""
"Dual enrollment","Refers to students who enroll in college courses offered by an institution of higher education while enrolled in high school or seeking a recognized equivalent. Student performance is recorded on a college transcript and postsecondary credit is awarded for a passing grade in the course.<br>&nbsp;&nbsp;&nbsp;<b>-&nbsp;</b>Includes: All postsecondary courses, independent of course delivery mode, course location, course instructor, whether secondary credit is also offered, and whether the student enrolls through a formal state/local program or enrolls outside a formal state/local program.<br>&nbsp;&nbsp;&nbsp;<b>-&nbsp;</b>Excludes: Credit-by-exam models such as Advanced Placement and International Baccalaureate in which the student is not enrolled in a postsecondary institution.",""
"Duolingo","A standardized test designed to determine an applicant's ability to benefit from instruction in English.","English Proficiency Test"
"E-books","E-books are digital documents (including those digitized by the library), licensed or not,&nbsp;where searchable text is prevalent, and which can be seen in analogy to a printed book (monograph). E-books are loaned to users on portable devices (e-book readers) or by transmitting the contents to the user's personal computer for a limited time.",""
"E-media","E-media materials are media materials that are in digital format and are available for download or streaming. Include digital graphic materials.",""
"E-serial","An e-serial is a publication issued in successive parts bearing numerical or chronological designations, is intended to be continued indefinitely, and is published in digital form to be displayed on a computer screen in any medium. This definition includes digital and digitized periodicals, newspapers, and annuals (reports, yearbooks, etc.); the journals, memoirs, proceedings, transactions, etc. of societies; and numbered monographic series.",""
"Early action","An admission plan that allows students to apply and be notified of an admission decision well in advance of the regular notification dates. If admitted, the candidate is not committed to enroll (unlike early decision). Students may reply to the offer under the college's regular reply policy.",""
"Early admission","A policy under which students who have not completed high school are admitted to and enrolled full-time in college, usually after completion of their junior year.",""
"Early decision","A plan that allows students to apply and be notified of an admission decision (and financial aid offer, if applicable) well in advance of the regular notification date. Applicants agree to accept an offer of admission and, if admitted, to withdraw their applications from other colleges. There are three possible decisions in response to such an application: admitted, denied, or not admitted but forwarded for consideration with the regular applicant pool, without prejudice.",""
"Educational offerings","Educational programs  offered by postsecondary institutions that are occupational, academic, or continuing professional that qualify as postsecondary education programs OR recreational or avocational, adult basic, developmental instruction,  high school equivalency, or high school programs that are not deemed postsecondary.",""
"Employees by Assigned Position (EAP)","<p>This data, now part of the Human Resources (HR) component of IPEDS, was previously a separate collection.  It was instituted in 2001-02 as a response to a proposal by the National Postsecondary Education Cooperative focus group on faculty and staff.  It allows institutions to 'assign' all faculty and staff to distinct categories. The EAP collects information on all employees on the institution's payroll as of November 1 of the reporting year, by full- and part-time status; by function or occupational category; and by faculty status and tenure status. Institutions with medical schools are required to report their medical school employees separately.</p><p>(Term used in IPEDS HR survey component prior to 2012-13)</p><p style='margin-right: 0in; margin-bottom: 7.5pt; margin-left: 0.5in;'><span style='font-family: &quot;Arial&quot;,&quot;sans-serif&quot;; font-size: 12pt;'></span>&nbsp;</p>",""
"Employer Identification Number (EIN)","The number assigned to an institution by the Internal Revenue Service for tax purposes.",""
"Employment services for current students","Activities intended to assist students in obtaining part-time employment as a means of defraying part of the cost of their education.",""
"Endowment funds","Funds whose principal is nonexpendable (true endowment) and that are intended to be invested to provide earnings for institutional use. Also includes term endowments and funds functioning as endowment.",""
"Endowment income","Endowment income includes: (1) the unrestricted income of endowment and similar funds; (2) restricted income of endowment and similar funds to the extent expended for current operating purposes, and (3) income from funds held in trust by others under irrevocable trusts. Excludes capital gains or losses unless the institution has adopted a spending formula by which it expends not only the yield but also a prudent portion of the appreciation of the principal. Does not include gains spent for current operations, which are treated as transfers.",""
"Endowment net assets","Gross investments of endowment funds,  term endowment funds,  and funds functioning as endowment for the institution and any of its foundations and other affiliated organizations and component units reduced by thevalue of endowment-related liabilities.",""
"English Proficiency Test","A test of English language abilities required for admission from incoming international students that are not from an English proficiency exempt country (as defined by the institution). Examples include but are not limited to: the Test of English as a Foreign Language (TOEFL), the International English Language Testing System (IELTS), The Cambridge Certificate of Advanced English (CAE), and Duolingo.","Test of English as a Foreign Language (TOEFL),Cambridge Certificate of Advanced English (CAE),Duolingo,International English Language Testing System (IELTS)"
"Enrolled for credit","Credit can be measured in units such as clock hours or credit hours. Credit is the recognition of attendance or performance in an instructional activity (course or program) that can be applied by a recipient toward the requirements for a postsecondary degree, diploma, certificate, or other recognized postsecondary credential, irrespective of the activity's unit of measurement.",""
"Entering students (undergraduate)","Students at the undergraduate level, both full-time and part-time, coming into the institution for the first time in the fall term (or the prior summer session who returned again in the fall). This includes all first-time undergraduate students, students transferring into the institution at the undergraduate level for the first time, and non-degree/non-certificate-seeking undergraduates entering in the fall.",""
"Equipment","Moveable tangible property such as research equipment, vehicles, machinery, and office equipment that meets the institution's capitalization policy for capital assets.",""
"Equity","The excess of a private, for-profit institution's assets over its liabilities. It is the claim or stake of the owners.",""
"Exclusions","Those students who may be removed (deleted) from a cohort (or subcohort). For the Graduation Rates, Outcome Measures, and Fall Enrollment retention rate reporting, students may be removed from a cohort if they left the institution for one of the following reasons: death or total and permanent disability; service in the armed forces (including those called to active duty); service with a foreign aid service of the federal government, such as the Peace Corps; or service on official church missions.","Student Right-to-Know Act"
"Executive, administrative, and managerial","<P>A primary function or occupational activity category used to classify persons whose assignments require management of the institution, or a customarily recognized department or subdivision thereof. Assignments require the performance of work directly related to management policies or general business operations of the institution, department or subdivision. Assignments in this category customarily and regularly require the incumbent to exercise discretion and independent judgment. Included in this category are employees holding titles such as: top executives; chief executives; general and operations managers; advertising, marketing, promotions, public relations, and sales managers; operations specialties managers; administrative services managers; computer and information systems managers; financial managers; human resources managers; purchasing managers; postsecondary education administrators such as: presidents, vice presidents (including assistants and associates), deans (including assistants and associates) if their principal activity is administrative and not primarily instruction, research or public service, directors (including assistants and associates), department heads (including assistants and associates) if their principal activity is administrative and not primarily instruction, research or public service, assistant and associate managers (including first-line managers of service, production and sales workers who spend more than 80 percent of their time performing supervisory activities); engineering managers; food service managers; lodging managers; and medical and health services managers.</P><P>(Term used in the IPEDS HR survey component prior to 2012-13)</P>",""
"Expenses","The outflow or other using up of assets or incurrence of liabilities (or a combination of both) from delivering or producing goods, rendering services, or carrying out other activities that constitute the institution's ongoing major or central operations or in generating revenues. Alternatively, expenses may be thought of as the costs of goods and services used to produce the educational services provided by the institution. Expenses result in a reduction of net assets.",""
"Extension centers","Sites or centers outside the confines of the parent institution where courses are offered that are part of an organized program at the parent institution. The sites are not considered to be temporary, but may be rented or made available to the institution at no cost by another institution or an organization, agency, or firm.",""
"Extension division","A unit of the institution that provides institutional services including the planning, organization, and delivery of extended campus offerings. To carry out these activities, it generally maintains its own enrollment, personnel, and financial records separate from those of the main institution (although an institution may include these records in its own institutional data base). It does not grant either degree-credit or degrees , but these may be awarded by the institution for instruction provided through the extension division.",""
"Faculty","Persons identified by the institution as such and typically those whose initial assignments are made for the purpose of conducting instruction, research or public service as a principal activity (or activities). They may hold academic rank titles of professor, associate professor, assistant professor, instructor, lecturer or the equivalent of any of those academic ranks. Faculty may also include the chancellor/president, provost, vice provosts, deans, directors or the equivalent, as well as associate deans, assistant deans and executive officers of academic departments (chairpersons, heads or the equivalent) if their principal activity is instruction combined with research and/or public service. The designation as 'faculty' is separate from the activities to which they may be currently assigned. For example, a newly appointed president of an institution may also be appointed as a faculty member. Graduate, instruction, and research assistants are not included in this category.",""
"Faculty Status","A status designated by the institution according to the institution's policies. 'Faculty' may include staff with academic appointments (instruction, research, public service) and other staff members who are appointed as faculty members. The designation 'faculty' is separate from the activities to which the staff members are currently assigned. For example, a president, provost, or librarian may also be appointed as a faculty member. For IPEDS reporting, graduate assistants do not have faculty status.",""
"Fall cohort","The group of students entering in the fall term established for tracking purposes. For the Graduation Rates component, this includes all students who enter an institution as full-time, first-time degree or certificate-seeking undergraduate students during the fall term of a given year.&nbsp;",""
"Fall Enrollment (EF)","This annual component of IPEDS  collects data on the number of students enrolled in the fall at postsecondary institutions.  Students reported are those enrolled in courses creditable toward a degree or other recognized postsecondary credential; students enrolled in courses that are part of a vocational or occupational program, including those enrolled in off-campus or extension centers; and high school students taking college courses for credit.  Institutions report annually the number of full- and part-time students, by gender, race/ethnicity, and level  (undergraduate and graduate, including doctor’s – professional practice students); the total number of full- and part-time undergraduate degree/certificate-seeking students (first-time entering, transfer-ins, and continuing/returning) and full- and part-time undergraduate non-degree/non-certificate students); and retention rates. In even-numbered years, data are collected for state of residence of first-time students and for the number of those students who graduated from high school or received high school equivalent certificates in the past 12 months. Also in even-numbered years, 4-year institutions are required to provide enrollment data by gender, race/ethnicity, and level for selected fields of study. In odd-numbered years, data are collected for enrollment by age category by student level and gender.",""
"Fall Staff (S)","<P>This data, now part of the IPEDS Human Resources (HR) component, was previously a separate collection. Only institutions with 15 or more full-time employees are required to report annually (prior to 2016-17, data was collected biennially, for odd-numbered years). Institutions report the numbers of full- and part-time employees as of November 1 of the reporting year; full-time faculty by contract length and salary class intervals; number of other persons employed full-time by primary occupational activity and salary class intervals; part-time employees by primary occupational activity; tenure of full-time faculty by academic rank; and new hires by primary occupational activity. Most data are provided by race/ethnicity and gender. Prior to 2001, this collection also requested the number of persons donating (contributing) services or contracted for by the institution. Between 1987 and 1991, the Fall Staff data were collected in cooperation with the U.S. Equal Employment Opportunity Commission (EEOC). Beginning in 1993, all schools formerly surveyed by EEOC (using the EEO-6 survey form) reported through IPEDS Fall Staff.</P><P>(Term used in IPEDS HR survey component prior to 2012-13)</P>",""
"Fall term","The part of the academic year that begins between late August and November 1.",""
"FASB (Financial Accounting Standards Board)","Financial Accounting Standards Board (FASB) is recognized by the American Institute of Certified Public Accountants  (AICPA) as the body authorized to establish accounting standards. In practice it defers to the Governmental Accounting Standards Board (GASB) for the setting of accounting standards for local and state government entities.",""
"Federal grants","Transfers of money or property from the Federal government to the education institution without a requirement to receive anything in return. These grants may take the form of grants to the institutions to undertake research or they may be in the form of student financial aid. (Used for reporting on the Finance component)",""
"Federal grants (grants/educational assistance funds)","Grants provided by federal agencies such as the U.S. Department of Education, including Title IV Pell Grants and Supplemental Educational Opportunity Grants (SEOG). Also includes need-based and merit-based educational assistance funds and training vouchers provided from other federal agencies and/or federally sponsored educational benefits programs. (Used for reporting on the Student Financial Aid component)",""
"Federal Supplementary Educational Opportunity Grants (FSEOG)","(Higher Education Act of 1965, as amended, Title IV, Part A, Subpart 2, Public Laws 89-329, 92-318, 94-482, et al; 20 USC 1070b-1070b-3.) Provides eligible undergraduate postsecondary students with demonstrated financial need with grant assistance to help meet educational expenses. The Supplementary Educational Opportunity Grants (SEOG) are made directly to institutions of higher education, which select students for the awards.",""
"Federal Work Study (FWS)","A part-time work program awarding on- or off-campus jobs to students who demonstrate financial need. FWS positions are primarily funded by the federal government (federal share), but are also partially funded by other organizations, including the institution (non-federal share). FWS is awarded to eligible students by the college as part of the student's financial aid package. The maximum FWS award is based on the student's financial need, the number of hours the student is able to work, and the amount of FWS funding available at the institution.   This is a type of Title IV Aid, but it is not considered grant or loan aid to students.",""
"Fellowships","These are grants-in-aid and trainee stipends to graduate students. Fellowships do not include funds for which services to the institution must be rendered, such as payments for teaching, or loans.",""
"FICE (Federal Interagency Committee on Education) code","A 6-digit identification code originally created by the Federal Interagency Committee on Education (FICE). The code was used to identify all schools doing business with the Office of Education during the early sixties. This code is no longer used in IPEDS; it has been replaced by the Office of Postsecondary Education (OPE) ID code.",""
"Fiduciary funds","Resources held and administered by the institution when it is acting in a capacity for individuals, private organizations, or governments. These are funds the institution holds in a trustee or agency capacity for others and the funds therefore cannot be used to support the institution's own programs . Included are pension (and other employee benefit) trust funds, investment trust funds, private-purpose trust funds, and agency funds (i.e., agency transactions). Fiduciary funds are not included in the entity-wide financial statements of GASB organizations, but are reported separately as supplementary information.",""
"Finance (F)","This annual component of IPEDS collects data that describe the financial condition of postsecondary education in the nation. These data are used to monitor changes in postsecondary education finance and to promote research involving institutional financial resources and expenditures. Specific data elements include such items as institutional revenues by source (e.g., tuition and fees, government, private gifts); institutional expenses by function (e.g., instruction, research, student services); physical plant assets and indebtedness; and endowment investments. Institutions may use different survey forms depending on the control of institution (e.g. public, private not-for-profit, or private for-profit) and the accounting standards followed by the institution (e.g. FASB or GASB).",""
"Financial aid","Federal Work Study, grants, loans to students (government and/or private), assistantships, scholarships, fellowships, tuition waivers, tuition discounts,&nbsp;employer aid (tuition reimbursement) and other monies (other than from relatives/friends) provided to students to meet expenses. This excludes loans to parents.",""
"FIPS (Federal Information Processing Standards) code","Standardized numeric or alphabetic codes issued by the National Institute of Standards and Technology (NIST) to ensure uniform identification of geographic entities throughout all federal government agencies.",""
"First-professional","<p>The use of this term was discontinued in IPEDS as of the 2010-11 data collection, when use of the new postbaccalaureate award categories became mandatory.</p><p>May refer to a degree, certificate, or level of student.</p><p>A first-professional degree was an award that required completion of a program that met all of the following criteria: (1) completion of the academic requirements to begin practice in the profession; (2) at least 2 years of college work prior to entering the program; and (3) a total of at least 6 academic years of college work to complete the degree program, including prior required college work plus the length of the professional program itself. First-professional degrees may be awarded in the following 10 fields:</p><ul><li>Chiropractic (D.C. or D.C.M.) <li>Dentistry (D.D.S. or D.M.D.) <li>Law (L.L.B., J.D.) <li>Medicine (M.D.) <li>Optometry (O.D.) <li>Osteopathic Medicine (D.O.) <li>Pharmacy (Pharm.D.) <li>Podiatry (D.P.M., D.P., or Pod.D.) <li>Theology (M.Div., M.H.L., B.D., or Ordination) <li>Veterinary Medicine (D.V.M.)</li></ul><p><span id='ctl00_cntContent_gvResults_ctl08_lblDefText'>A first-professional certificate was an award that required completion of an organized <font color='#000000'>program</font> of study designed for persons who had completed the first-professional <font color='#000000'>degree</font>. Examples could be refresher courses or additional units of study in a specialty or subspecialty.</span></p><p><span>A first-professional student was a student enrolled in one of these programs.</span></p><p><span>The 12-month FTE for <font color='#000000'>first-professional</font> students was calculated using the <font color='#000000'>unduplicated headcounts</font> reported on the 12-month enrollment component. Since the 12-month unduplicated headcounts do not differentiate between <font color='#000000'>full-time</font> and <font color='#000000'>part-time</font> students, an estimation was used. The ratio of full-time to part-time first-professional students from the previous <font color='#000000'>collection year</font> fall enrollment (which corresponds to the same academic year students) was calculated, and this ratio was applied to the 12-month unduplicated headcount. Adding the resulting full-time and one-third part-time student estimates results in the FTE for first-professional students.</span></p><p>&nbsp;</p>",""
"First-time student (undergraduate)","A student who has no prior postsecondary experience (except as noted below) attending any institution for the first time at the undergraduate level. This includes students enrolled in academic or occupational programs. It also includes students enrolled in the fall term who attended college for the first time in the prior summer session, and students who entered with advanced standing (college credits&nbsp;or recognized postsecondary credential&nbsp;earned before graduation from high school).",""
"Fixed assets","Assets that cannot readily be turned into cash without disrupting the operation of the institution. Fixed assets include intangible assets consisting of certain nonmaterial rights and benefits of an institution, such as patents, copyrights, trademarks and goodwill.",""
"Focus institution","The term used in the IPEDS Peer Analysis System to identify the postsecondary institution that is being compared to other institutions (peers) or that is the basis for any statistical reports generated within the system.",""
"Food charges (formerly board charges)","Charges assessed students for an academic year for meals.",""
"Food plan (formerly board plan)","The method for providing meals to students during an academic year. Plans may include a specific charge for a specified number of meals per week or a specified amount against which students may charge their meals.",""
"Four-year institution","A postsecondary institution that offers programs  of at least 4 years duration or one that offers programs at or above the baccalaureate level. Includes schools that offer postbaccalaureate certificates  only or those that offer graduate programs only. Also includes free-standing medical, law or other first-professional schools.",""
"Freshman","A first-year undergraduate student.",""
"Fringe benefits","Cash contributions in the form of supplementary or deferred compensation other than salary. Excludes the employee's contribution. Employee fringe benefits include retirement plans, social security taxes, medical/dental plans, guaranteed disability income protection plans, tuition plans, housing plans, unemployment compensation plans, group life insurance plans, worker's compensation plans, pension, and other benefits in-kind with cash options.",""
"FTE of students","The full-time equivalent (FTE) of students is a single value providing a meaningful combination of full-time and part-time students.  IPEDS data products currently have two calculations of FTE students, one using fall student headcounts and the other using 12-month instructional activity.","Calculation of FTE students (using instructional activity),Calculation of FTE students (using fall student headcounts)"
"FTE staff","The full-time-equivalent (FTE) of staff is calculated by summing the total number of full-time staff from the Employees by Assigned Position (EAP) component and adding one-third of the total number of part-time staff.",""
"Full aid year","For the purposes of the IPEDS Student Financial Aid (SFA) component, full aid year refers to either the academic year (for academic reporters) or the period between September 1 and August 31 (for program reporters).",""
"Full-time staff (employees)","As defined by the institution. The type of appointment at the snapshot date determines whether an employee is full-time or part-time. The employee's term of contract is not considered in making the determination of full- or part-time.",""
"Full-time student","Undergraduate: A student enrolled for 12 or more semester credits, or 12 or more quarter credits, or 24 or more clock hours a week each term. Graduate: A student enrolled for 9 or more semester credits, or 9 or more quarter credits, or a student involved in thesis or dissertation preparation that is considered full-time by the institution. Doctor's degree - Professional practice - full-time as defined by the institution.","Credit"
"Full-year cohort","This is a group of students entering at any time during the 12-month period for tracking and reporting. For&nbsp;Graduation Rate (GR), a full-year cohort is&nbsp;from September 1 through August 31 and&nbsp;is used primarily by institutions that offer occupational programs of varying lengths. Students must be full-time and first-time to be considered in the cohort. For Outcome Measures (OM) component, all degree-granting institutions report on a full-year cohort from July 1 through June 30. Students are reported once in one of the four OM&nbsp;cohorts: first-time, full-time; first-time, part-time: non-first-time, full-time; or non-first-time, part-time.",""
